t [mm],p [MeV/c],delta E [MeV],delta E error [MeV]
5,500,-6.318336,0.006025518278010888
10,500,-12.637911,0.008478307859937495
20,500,-25.242237,0.011755078449670766
30,500,-37.84808,0.01423137421952785
40,500,-50.429916,0.0162031555378101
50,500,-63.013,0.017966811789399965
60,500,-75.58724,0.019423320820291617
70,500,-88.1733,0.020686440030058196
80,500,-100.73787,0.021811961987956877
90,500,-113.32999,0.022917150418590222
100,500,-125.946594,0.02394487481042361
110,500,-138.55586,0.024813240198544317
120,500,-151.15839,0.025616656803020856
130,500,-163.7936,0.026396234523372128
140,500,-176.45715,0.027102094255753786
150,500,-189.16092,0.027818287107127332
160,500,-201.9187,0.02850064974316586
170,500,-214.75214,0.029195784563028928
180,500,-227.66676,0.02991595869095963
190,500,-240.6889,0.030693039931370836
200,500,-253.86159,0.031588184402445346
5,1000,-6.754248,0.01185777536416441
10,1000,-13.47579,0.016383759237906855
20,1000,-26.916552,0.022886253005961147
30,1000,-40.35017,0.02781187807560778
40,1000,-53.735546,0.03177283107970861
50,1000,-67.12259,0.03528376372757766
60,1000,-80.532135,0.03840814982650246
70,1000,-93.89549,0.04119570658936401
80,1000,-107.260796,0.04385991412757213
90,1000,-120.57324,0.0460994685868915
100,1000,-133.91257,0.04846366306470663
110,1000,-147.18799,0.05049531527095244
120,1000,-160.46931,0.05236100396050686
130,1000,-173.71484,0.05418976327950183
140,1000,-186.95326,0.05572511430098868
150,1000,-200.17516,0.05714456530527672
160,1000,-213.3727,0.05860102710870772
170,1000,-226.554,0.05987710952029223
180,1000,-239.71043,0.06123832863143684
190,1000,-252.84348,0.06246493272463754
200,1000,-265.95746,0.06356942349070001
5,3000,-7.6466765,0.034058250362992
10,3000,-15.192827,0.04602388106803679
20,3000,-30.46957,0.06826655552478335
30,3000,-45.632034,0.08445777472184711
40,3000,-60.81338,0.09971954443439514
50,3000,-75.95508,0.10915104767069031
60,3000,-91.06297,0.11761970430771164
70,3000,-106.32542,0.12709841708296502
80,3000,-121.46107,0.1369508011700287
90,3000,-136.64166,0.14627650364960149
100,3000,-151.84964,0.15125650383125092
110,3000,-166.92802,0.15777970766200425
120,3000,-182.09073,0.16441297660926574
130,3000,-197.15018,0.17063609496892557
140,3000,-212.37294,0.17762707554483864
150,3000,-227.387,0.1823451221967889
160,3000,-242.41893,0.1871542946587022
170,3000,-257.44528,0.19184506629657697
180,3000,-272.5858,0.19704783856355695
190,3000,-287.67746,0.20161566153117183
200,3000,-302.71695,0.2059504345222609
